"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFRT3MCX","QFRT_MCX","QREP3MCX","QREP_MCX"
"20101",1997045,42,0,"1",.,"A",0,"D"
"20101",1997815,24,0,"1",154,"D",.,"A"
"20101",2004465,19,0,"1",.,"A",150,"D"
"20101",2005565,28,0,"1",.,"A",1700,"D"
"20101",2006375,3,0,"1",.,"A",.,"A"
"20101",2008035,36,0,"1",.,"A",10,"D"
"20101",2016815,21,0,"1",.,"A",100,"D"
"20101",2019944,15,0,"1",.,"A",1800,"D"
"20101",2020934,18,0,"1",.,"A",0,"D"
"20101",2021885,23,0,"1",.,"A",0,"D"
"20101",2023134,50,0,"1",300,"D",.,"A"
"20101",2023414,18,0,"1",.,"A",14,"D"
"20101",2025164,16,0,"1",.,"A",650,"D"
"20101",2028604,26,0,"1",.,"A",150,"D"
"20101",2028644,22,0,"1",50,"D",.,"A"
"20101",2030914,26,0,"1",.,"A",0,"D"
"20101",2032124,35,0,"1",.,"A",100,"D"
"20101",2035154,14,0,"1",.,"A",.,"A"
"20101",2038464,17,0,"1",.,"A",45,"D"
"20101",2040075,17,0,"1",.,"A",.,"A"
"20101",2159625,29,0,"1",272,"D",.,"A"
"20101",2162144,39,0,"1",.,"A",1200,"D"
"20101",2162414,43,0,"1",30,"D",.,"A"
"20101",2162464,31,0,"1",.,"A",13,"D"
"20101",2167914,17,0,"1",300,"D",.,"A"
"20101",2170063,37,0,"1",.,"A",0,"D"
"20101",2171933,19,0,"1",.,"A",60,"D"
"20101",2172013,20,0,"1",200,"D",.,"A"
"20101",2172373,30,0,"1",450,"D",.,"A"
"20101",2172643,20,0,"1",.,"A",75,"D"
"20101",2173033,32,0,"1",.,"A",112,"D"
"20101",2173083,20,0,"1",.,"A",800,"D"
"20101",2176223,39,0,"1",.,"A",20,"D"
"20101",2178283,27,0,"1",240,"D",.,"A"
"20101",2183443,17,0,"1",.,"A",0,"D"
"20101",2188783,69,0,"1",.,"A",120,"D"
"20101",2189783,24,0,"1",.,"A",10,"D"
"20101",2191223,29,0,"1",.,"A",65,"D"
"20101",2193203,43,0,"1",.,"A",200,"D"
"20101",2194914,23,0,"1",426,"D",.,"A"
"20101",2195313,37,0,"1",.,"A",25,"D"
"20101",2196034,22,0,"1",0,"D",.,"A"
"20101",2196074,16,0,"1",504,"D",.,"A"
"20101",2196285,15,0,"1",.,"A",.,"A"
"20101",2200042,19,0,"1",320,"D",25,"D"
"20101",2200702,25,0,"1",375,"D",.,"A"
"20101",2202192,19,0,"1",459,"D",.,"A"
"20101",2204832,16,0,"1",.,"A",.,"A"
"20101",2209502,38,0,"1",.,"A",190,"D"
"20101",2210422,39,0,"1",.,"A",1875,"D"
"20101",2211172,14,0,"1",.,"A",.,"A"
"20101",2212712,25,0,"1",.,"A",1700,"D"
"20101",2214162,22,0,"1",100,"D",.,"A"
"20101",2214582,43,0,"1",.,"A",30,"D"
"20101",2214802,19,0,"1",.,"A",.,"A"
"20101",2215372,40,0,"1",.,"A",2000,"D"
"20101",2219442,27,0,"1",291,"F",.,"A"
"20101",2222022,23,0,"1",.,"A",0,"D"
"20101",2222962,20,0,"1",.,"A",15,"D"
"20101",2223352,33,0,"1",130,"D",.,"A"
"20101",2223942,23,0,"1",.,"A",60,"D"
"20101",2224082,15,0,"1",.,"A",.,"A"
"20101",2225045,17,0,"1",543,"D",.,"A"
"20101",2225165,31,0,"1",.,"A",15,"D"
"20101",2226433,24,0,"1",450,"D",.,"A"
"20101",2226682,18,0,"1",.,"A",32,"D"
"20102",2019265,25,0,"1",.,"A",6,"D"
"20102",2021395,17,0,"1",520,"D",.,"A"
"20102",2022515,43,0,"1",.,"A",39,"D"
"20102",2023595,16,0,"1",360,"F",.,"A"
"20102",2023625,37,0,"1",.,"A",60,"D"
"20102",2024955,24,0,"1",.,"A",180,"D"
"20102",2025165,19,0,"1",.,"A",1746,"D"
"20102",2025415,20,0,"1",60,"D",.,"A"
"20102",2029845,21,0,"1",.,"A",35,"D"
"20102",2038475,24,0,"1",0,"D",.,"A"
"20102",2041155,35,0,"1",.,"A",3,"D"
"20102",2167915,19,0,"1",360,"D",.,"A"
"20102",2169484,15,0,"1",.,"A",800,"D"
"20102",2171294,17,0,"1",.,"A",110,"D"
"20102",2171654,19,0,"1",.,"A",301,"D"
"20102",2172014,21,0,"1",300,"D",.,"A"
"20102",2172984,30,0,"1",.,"A",40,"D"
"20102",2178284,15,0,"1",160,"D",.,"A"
"20102",2181604,19,0,"1",.,"A",170,"D"
"20102",2182594,20,0,"1",.,"A",2500,"D"
"20102",2186324,38,0,"1",1118,"D",.,"A"
"20102",2191444,58,0,"1",.,"A",80,"D"
"20102",2191574,18,0,"1",.,"A",50,"D"
"20102",2192844,20,0,"1",.,"A",20,"D"
"20102",2193204,33,0,"1",.,"A",740,"D"
"20102",2195214,15,0,"1",.,"A",18,"D"
"20102",2196245,49,0,"1",.,"A",202,"D"
"20102",2197385,24,0,"1",660,"D",.,"A"
"20102",2197805,16,0,"1",201,"D",.,"A"
"20102",2199473,23,0,"1",.,"A",500,"D"
"20102",2199663,22,0,"1",.,"A",12,"D"
"20102",2200043,17,0,"1",496,"D",.,"A"
"20102",2200703,17,0,"1",296,"D",.,"A"
"20102",2202193,14,0,"1",192,"D",.,"A"
"20102",2203213,25,0,"1",.,"A",47,"D"
"20102",2204463,43,0,"1",.,"A",0,"D"
"20102",2208323,15,0,"1",.,"A",120,"D"
"20102",2208503,25,0,"1",.,"A",0,"D"
"20102",2209673,18,0,"1",.,"A",2,"D"
"20102",2210643,19,0,"1",.,"A",0,"D"
"20102",2214163,17,0,"1",0,"D",.,"A"
"20102",2214803,14,0,"1",.,"A",.,"A"
"20102",2215093,25,0,"1",.,"A",1100,"D"
"20102",2215913,27,0,"1",.,"A",65,"D"
"20102",2216743,21,0,"1",.,"A",100,"D"
"20102",2217383,35,0,"1",.,"A",0,"D"
"20102",2219443,18,0,"1",300,"F",.,"A"
"20102",2220273,20,0,"1",.,"A",75,"D"
"20102",2221443,20,0,"1",.,"A",.,"A"
"20102",2222943,37,0,"1",.,"A",25,"D"
"20102",2223693,26,0,"1",.,"A",0,"D"
"20102",2223793,20,0,"1",.,"A",0,"D"
"20102",2224994,20,0,"1",350,"D",.,"A"
"20102",2225033,35,0,"1",.,"A",135,"D"
"20102",2244422,34,0,"1",.,"A",25,"D"
"20102",2247852,32,0,"1",.,"A",1000,"D"
"20102",2253292,29,0,"1",.,"A",0,"D"
"20102",2255812,15,0,"1",.,"A",.,"A"
"20102",2255822,14,0,"1",.,"A",.,"A"
"20102",2259142,22,0,"1",.,"A",2600,"D"
"20102",2259892,27,0,"1",.,"A",80,"D"
"20102",2268212,27,0,"1",.,"A",30,"D"
"20102",2271362,25,0,"1",.,"A",35,"D"
"20102",2275483,19,0,"1",0,"D",.,"A"
"20102",2278422,24,0,"1",300,"D",.,"A"
"20102",2283102,15,0,"1",.,"A",.,"A"
"20102",2284372,20,0,"1",.,"A",55,"D"
"20102",2285563,27,0,"1",.,"A",0,"D"
"20102",2286792,32,0,"1",.,"A",0,"D"
"20102",2296293,28,0,"1",.,"A",0,"D"
"20102",2299852,27,0,"1",225,"D",.,"A"
"20102",2300302,24,0,"1",.,"A",0,"D"
"20102",2302632,23,0,"1",.,"A",40,"D"
"20103",2170205,18,0,"1",.,"A",.,"A"
"20103",2172985,33,0,"1",.,"A",40,"D"
"20103",2173865,23,0,"1",160,"D",.,"A"
"20103",2174415,43,0,"1",.,"A",49,"D"
"20103",2178285,18,0,"1",300,"D",.,"A"
"20103",2182255,22,0,"1",.,"A",384,"D"
"20103",2182595,18,0,"1",.,"A",2050,"D"
"20103",2185335,40,0,"1",.,"A",800,"D"
"20103",2185895,20,0,"1",1535,"D",.,"A"
"20103",2188615,27,0,"1",.,"A",20,"D"
"20103",2188825,26,0,"1",.,"A",75,"D"
"20103",2199824,39,0,"1",0,"D",.,"A"
