"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMLOC","NUMLOC_","LOCLODGX","LOCL_DGX","ALCMEALX","ALCM_ALX","ALCGROCX","ALCG_OCX","LOCADMSX","LOCA_MSX","FOODLCDL","FOOD_CDL","LODGLCDL","LODG_CDL","ENTRLCDL","ENTR_CDL","ELSELCDL","ELSE_CDL","QLCMLAX","QLCMLAX_","QLCGLAX","QLCGLAX_"
"20101",2180863,68,0,"1",2,"D",600,"D",35,"D",.,"A",20,"D",,"A",,"A",,"A",,"A",165,"D",.,"A"
"20101",2181423,55,0,"1",2,"D",250,"G",60,"D",.,"A",115,"G","2","D","1","D","1","D","1","D",160,"D",.,"A"
"20101",2182663,37,0,"1",2,"D",138,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",50,"D",.,"A"
"20101",2187993,34,0,"1",6,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",15,"D",.,"A"
"20101",2188723,38,0,"1",1,"D",200,"D",20,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",30,"D",.,"A"
"20101",2190233,49,0,"1",4,"D",400,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",72,"D",12,"D"
"20101",2191833,51,0,"1",1,"D",40,"D",10,"D",.,"A",15,"D",,"A",,"A",,"A",,"A",5,"D",.,"A"
"20101",2196883,53,0,"1",2,"D",200,"D",50,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",250,"D",.,"A"
"20101",2199922,60,0,"1",2,"D",670,"D",400,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",200,"D",.,"A"
"20101",2200982,89,0,"1",1,"D",173,"G",30,"D",.,"A",.,"A","2","D","1","D","2","D","2","D",88,"D",.,"A"
"20101",2201632,85,0,"1",6,"D",.,"A",.,"A",20,"D",.,"A",,"A",,"A",,"A",,"A",100,"D",80,"D"
"20101",2202092,39,0,"1",1,"D",90,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20101",2204402,62,0,"1",1,"D",400,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20101",2204462,97,0,"1",1,"D",153,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20101",2204792,81,0,"1",11,"D",752,"D",25,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",112,"D",.,"A"
"20101",2206692,40,0,"1",1,"D",.,"A",29,"G",.,"A",62,"G","1","D","2","D","1","D","2","D",59,"G",.,"A"
"20101",2208632,74,0,"1",1,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",50,"D",.,"A"
"20101",2212103,34,0,"1",1,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",20,"D",.,"A"
"20101",2212122,75,0,"1",1,"D",125,"D",15,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",85,"D",.,"A"
"20101",2212652,67,0,"1",1,"D",165,"G",60,"D",.,"A",85,"G","2","D","1","D","1","D","2","D",90,"D",.,"A"
"20101",2212912,95,0,"1",1,"D",269,"D",9,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",244,"D",.,"A"
"20101",2213302,49,0,"1",2,"D",150,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",50,"D"
"20101",2213882,60,0,"1",1,"D",30,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20101",2215122,45,0,"1",2,"D",98,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",35,"D",.,"A"
"20101",2215164,53,0,"1",1,"D",125,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",25,"D",.,"A"
"20101",2215392,48,0,"1",1,"D",50,"D",7,"G",8,"G",.,"A",,"A",,"A",,"A",,"A",24,"G",11,"G"
"20101",2216252,102,0,"1",2,"D",890,"D",.,"A",.,"A",40,"D",,"A",,"A",,"A",,"A",110,"D",.,"A"
"20101",2216502,93,0,"1",2,"D",110,"D",8,"G",25,"D",18,"G","1","D","2","D","1","D","2","D",84,"G",10,"D"
"20101",2216922,47,0,"1",2,"D",239,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20101",2218342,53,0,"1",1,"D",126,"G",25,"G",.,"A",63,"G","1","D","1","D","1","D","2","D",122,"G",.,"A"
"20101",2218412,99,0,"1",1,"D",179,"D",16,"D",.,"A",200,"D",,"A",,"A",,"A",,"A",94,"D",.,"A"
"20101",2220302,38,0,"1",1,"D",116,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20101",2222012,37,0,"1",2,"D",78,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",50,"D",.,"A"
"20101",2224174,46,0,"1",2,"D",150,"D",15,"D",20,"D",.,"A",,"A",,"A",,"A",,"A",45,"D",25,"D"
"20101",2224623,48,0,"1",4,"D",238,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",74,"D",.,"A"
