"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CLOTHYD","CLOTHYD_","CLSVGFTC","CLSV_FTC","CLOTHMOD","CLOT_MOD","CLSRVCX","CLSRVCX_","CLOTHD1","CLOTHD1_","CLOTHD2","CLOTHD2_","CLOTHD3","CLOTHD3_","CLOTHD4","CLOTHD4_","CLOTHD5","CLOTHD5_","CLOTHD6","CLOTHD6_","CLOTHD7","CLOTHD7_","CLOTHD8","CLOTHD8_","CLOTHD9","CLOTHD9_"
"20101",1995925,20,0,"1","450","D","1","D","11","D",39,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996175,16,0,"1","450","D","1","D","02","D",5,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996505,28,0,"1","460","D","1","D","12","D",65,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1997025,21,0,"1","450","D","1","D","01","D",43,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1997095,22,0,"1","470","D","1","D","11","D",14,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1997145,27,0,"1","460","D","1","D","10","D",54,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1997145,28,0,"1","460","D","1","D","11","D",54,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1997145,29,0,"1","460","D","1","D","12","D",54,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1997145,30,0,"2","460","D","1","D","10","D",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1997315,18,0,"1","470","D","1","D","11","D",8,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1997445,17,0,"1","450","D","1","D","02","D",200,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1997605,22,0,"1","450","D","1","D","12","D",35,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1997605,23,0,"1","450","D","1","D","11","D",30,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1997605,24,0,"1","450","D","1","D","11","D",21,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
