"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CLOTHYB","CLOTHYB_","CLOGFTB","CLOGFTB_","CLOTHQB","CLOTHQB_","CLOTHMOB","CLOT_MOB","CLOTHXB","CLOTHXB_","AGE_SEXB","AGE__EXB","CLOTHB1","CLOTHB1_","CLOTHB2","CLOTHB2_","CLOTHB3","CLOTHB3_","CLOTHB4","CLOTHB4_","CLOTHB5","CLOTHB5_","CLOTHB6","CLOTHB6_","CLOTHB7","CLOTHB7_","CLOTHB8","CLOTHB8_","CLOTHB9","CLOTHB9_"
"20101",1995585,15,0,"1","300","D","2","D",3,"D","12","D",150,"D","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1995845,19,0,"1","310","D","1","D",6,"D","11","D",80,"D","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1995845,20,0,"1","320","D","1","D",7,"D","11","D",50,"D","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1995845,21,0,"2","310","D","1","D",7,"D","11","D",79,"D","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1995875,17,0,"1","330","D","2","D",6,"D","12","D",.,"H","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1995875,17,1,"1","200","D","2","D",.,"B","12","D",45,"E","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1995875,17,2,"1","201","D","2","D",.,"B","12","D",31,"E","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1995875,17,3,"1","310","D","2","D",.,"B","12","D",21,"E","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1995875,17,4,"1","320","D","2","D",.,"B","12","D",10,"E","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1995875,17,5,"1","340","D","2","D",.,"B","12","D",193,"E","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1995885,21,0,"1","370","D","2","D",1,"D","12","D",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1995955,21,0,"1","380","D","1","D",1,"D","01","D",61,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1995955,22,0,"1","380","D","1","D",1,"D","02","D",68,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1995955,23,0,"1","380","D","1","D",1,"D","02","D",24,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1995955,24,0,"1","380","D","1","D",1,"D","02","D",77,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1995955,25,0,"1","380","D","1","D",1,"D","02","D",77,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1995955,26,0,"2","380","D","1","D",1,"D","12","D",79,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1995955,27,0,"2","380","D","1","D",1,"D","12","D",51,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1995955,28,0,"2","380","D","1","D",1,"D","12","D",190,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1995995,20,0,"1","380","D","2","D",1,"D","12","D",21,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996025,17,0,"1","330","D","2","D",2,"D","12","D",.,"H","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996025,17,1,"1","200","D","2","D",.,"B","12","D",26,"E","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996025,17,2,"1","201","D","2","D",.,"B","12","D",12,"E","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996025,17,3,"1","310","D","2","D",.,"B","12","D",30,"E","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996025,17,4,"1","320","D","2","D",.,"B","12","D",5,"E","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996025,17,5,"1","340","D","2","D",.,"B","12","D",12,"E","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996025,18,0,"2","370","D","1","D",1,"D","10","D",14,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996055,17,0,"1","310","D","1","D",1,"D","10","D",52,"D","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996055,18,0,"1","310","D","1","D",1,"D","11","D",52,"D","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996055,19,0,"1","310","D","1","D",1,"D","12","D",52,"D","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996225,16,0,"1","900","D","1","D",.,"C","11","D",.,"H",,"A","900","D","310","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996225,16,1,"1","201","D","1","D",.,"B","11","D",6,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996225,16,2,"1","300","D","1","D",.,"B","11","D",7,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996225,16,3,"1","310","D","1","D",.,"B","11","D",7,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996225,17,0,"1","900","D","2","D",.,"C","11","D",.,"H",,"A","900","D","310","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996225,17,1,"1","201","D","2","D",.,"B","11","D",6,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996225,17,2,"1","300","D","2","D",.,"B","11","D",7,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20101",1996225,17,3,"1","310","D","2","D",.,"B","11","D",7,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
