"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX","QPYP3MCX","QPYP_MCX","QPRP3MCX","QPRP_MCX"
"20102",2214823,62,0,"1",.,"A",.,"A",20,"D"
"20102",2215253,51,0,"1",.,"A",.,"A",80,"D"
"20102",2215433,34,0,"1",10,"D",.,"A",.,"A"
"20102",2215533,82,0,"1",20,"D",.,"A",.,"A"
"20102",2215613,49,0,"1",.,"A",.,"A",40,"D"
"20102",2215763,65,0,"1",30,"D",.,"A",.,"A"
"20102",2215913,50,0,"1",.,"A",.,"A",40,"D"
"20102",2216153,43,0,"1",.,"A",.,"A",0,"D"
"20102",2216363,22,0,"1",0,"D",.,"A",.,"A"
"20102",2216693,66,0,"1",30,"D",.,"A",.,"A"
"20102",2217203,34,0,"1",75,"D",.,"A",.,"A"
"20102",2217273,39,0,"1",.,"A",.,"A",50,"D"
"20102",2217283,50,0,"1",70,"D",.,"A",.,"A"
"20102",2217363,41,0,"1",.,"A",.,"A",.,"A"
"20102",2217823,46,0,"1",30,"D",.,"A",.,"A"
"20102",2217973,36,0,"1",.,"A",.,"A",30,"D"
"20102",2218583,44,0,"1",120,"D",.,"A",.,"A"
"20102",2218624,27,0,"1",.,"A",.,"A",0,"D"
"20102",2218763,61,0,"1",.,"A",.,"A",21,"D"
"20102",2218813,38,0,"1",.,"A",.,"A",240,"D"
"20102",2218893,51,0,"1",15,"D",.,"A",.,"A"
"20102",2218963,28,0,"1",25,"D",.,"A",.,"A"
"20102",2219163,34,0,"1",10,"D",.,"A",.,"A"
"20102",2219223,44,0,"1",15,"D",.,"A",.,"A"
"20102",2219673,53,0,"1",11,"D",.,"A",.,"A"
"20102",2219773,39,0,"1",5,"D",.,"A",.,"A"
"20102",2219803,56,0,"1",.,"A",.,"A",171,"D"
"20102",2220063,49,0,"1",50,"D",.,"A",.,"A"
"20102",2220223,67,0,"1",.,"A",.,"A",120,"D"
"20102",2220723,48,0,"1",20,"D",.,"A",.,"A"
"20102",2220963,46,0,"1",60,"D",.,"A",180,"D"
"20102",2221203,38,0,"1",60,"D",.,"A",.,"A"
"20102",2221443,49,0,"1",.,"A",.,"A",.,"A"
"20102",2221463,43,0,"1",.,"A",.,"A",32,"D"
"20102",2221973,28,0,"1",.,"A",.,"A",60,"D"
