"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QPSF3MCX","QPSF_MCX","QSSF3MCX","QSSF_MCX","QEAD3MCX","QEAD_MCX","QREC3MCX","QREC_MCX","QFLM3MCX","QFLM_MCX","QFLP3MCX","QFLP_MCX","QPVD3MCX","QPVD_MCX","QRVD3MCX","QRVD_MCX","QENT3MCX","QENT_MCX","QBR3MCX","QBR3MCX_","QNMG3MCX","QNMG_MCX"
"20091",1989922,26,0,"1",.,"A",.,"A",20,"D",10,"D",.,"A",16,"D",30,"D",15,"D",.,"A",50,"D",3,"D"
"20091",1989932,19,0,"1",135,"D",.,"A",.,"A",.,"A",80,"D",46,"F",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1989942,23,0,"1",70,"D",75,"D",.,"A",.,"A",.,"A",150,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1989952,27,0,"1",.,"A",.,"A",16,"D",40,"D",.,"A",.,"A",60,"D",.,"A",.,"A",60,"D",.,"A"
"20091",1989962,18,0,"1",130,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1989972,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",75,"D",.,"A",.,"A",.,"A"
"20091",1989985,26,0,"1",.,"A",.,"A",.,"A",23,"D",.,"A",.,"A",.,"A",156,"D",.,"A",.,"A",.,"A"
"20091",1989992,13,0,"1",.,"A",.,"A",100,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1990002,14,0,"1",.,"A",.,"A",50,"D",75,"D",.,"A",.,"A",60,"D",.,"A",.,"A",.,"A",.,"A"
"20091",1990044,22,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",40,"D",.,"A"
"20091",1990052,13,0,"1",.,"A",120,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1990062,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",40,"D",.,"A",.,"A",16,"D",.,"A"
"20091",1990072,17,0,"1",.,"A",.,"A",60,"D",.,"A",.,"A",25,"D",.,"A",0,"D",.,"A",13,"D",.,"A"
"20091",1990083,28,0,"1",.,"A",100,"D",200,"D",.,"A",.,"A",.,"A",50,"D",.,"A",.,"A",30,"D",.,"A"
"20091",1990092,17,0,"1",.,"A",.,"A",50,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1990102,31,0,"1",.,"A",.,"A",0,"D",10,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1990112,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",9,"D",.,"A",.,"A",.,"A"
"20091",1990125,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",60,"D",.,"A",.,"A",.,"A"
"20091",1990132,23,0,"1",.,"A",.,"A",40,"D",40,"D",.,"A",27,"D",300,"D",.,"A",.,"A",.,"A",.,"A"
"20091",1990152,17,0,"1",.,"A",.,"A",.,"A",12,"D",.,"A",.,"A",.,"A",45,"D",.,"A",.,"A",.,"A"
"20091",1990162,14,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",40,"D",30,"D",.,"A",.,"A",.,"A",16,"D"
"20091",1990182,29,0,"1",.,"A",220,"D",.,"A",.,"A",.,"A",0,"D",.,"A",25,"D",.,"A",.,"A",.,"A"
"20091",1990202,18,0,"1",.,"A",.,"A",60,"D",15,"D",.,"A",15,"D",.,"A",18,"D",.,"A",.,"A",.,"A"
"20091",1990212,17,0,"1",.,"A",.,"A",13,"D",.,"A",.,"A",.,"A",.,"A",51,"D",.,"A",.,"A",.,"A"
"20091",1990222,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",30,"D",25,"D",35,"D"
"20091",1990232,21,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A"
"20091",1990272,36,0,"1",.,"A",.,"A",16,"D",.,"A",.,"A",.,"A",10,"D",22,"D",.,"A",.,"A",0,"D"
"20091",1990282,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",120,"D",.,"A",.,"A"
"20091",1990292,16,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D"
"20091",1990322,21,0,"1",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",20,"D",.,"A",100,"D",200,"D",80,"D"
"20091",1990333,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A"
"20091",1990352,19,0,"1",.,"A",.,"A",80,"D",.,"A",.,"A",.,"A",20,"D",10,"D",.,"A",.,"A",.,"A"
"20091",1990392,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",8,"D",.,"A",.,"A",.,"A"
"20091",1990402,26,0,"1",.,"A",.,"A",50,"D",.,"A",.,"A",0,"D",6,"D",20,"D",.,"A",.,"A",.,"A"
"20091",1990414,28,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",220,"D",38,"D",.,"A",.,"A",13,"D"
"20091",1990432,18,0,"1",.,"A",.,"A",20,"D",.,"A",.,"A",.,"A",90,"D",.,"A",.,"A",.,"A",.,"A"
"20091",1990472,20,0,"1",105,"D",.,"A",.,"A",10,"D",.,"A",7,"D",.,"A",.,"A",.,"A",11,"D",10,"D"
"20091",1990502,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",6,"D"
"20091",1990522,17,0,"1",.,"A",30,"D",.,"A",.,"A",.,"A",.,"A",20,"D",.,"A",.,"A",.,"A",.,"A"
"20091",1990542,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",34,"D",.,"A"
"20091",1990572,17,0,"1",.,"A",.,"A",112,"D",.,"A",.,"A",.,"A",.,"A",24,"D",.,"A",.,"A",18,"D"
"20091",1990582,16,0,"1",.,"A",.,"A",.,"A",.,"A",7,"D",.,"A",.,"A",.,"A",.,"A",25,"D",.,"A"
"20091",1990592,13,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",17,"F"
