"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JMEALPYA","JMEA_PYA","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","FREEFOOD","FREE_OOD"
"20092",1980863,26,0,"1",1040,"D",65,"D",130,"D",0,"D",.,"A",.,"A",.,"A",.,"A",975,"D","2","D"
"20092",1980873,55,0,"1",3250,"D",650,"D",260,"D",0,"D",.,"A",.,"A",.,"A",585,"D",2600,"D","2","D"
"20092",1980883,47,0,"1",1625,"D",130,"D",.,"A",156,"D",0,"D",.,"A",.,"A",.,"A",1495,"D","2","D"
"20092",1980893,43,0,"1",650,"D",65,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",585,"D","2","D"
"20092",1980903,59,0,"1",3900,"D",390,"D",.,"A",260,"D",75,"D",.,"A",.,"A",.,"A",3510,"D","2","D"
"20092",1980913,80,0,"1",2600,"D",260,"D",.,"A",650,"D",150,"D",.,"A",.,"A",.,"A",2340,"D","2","D"
"20092",1980943,50,0,"1",1300,"D",195,"D",.,"A",520,"D",.,"A",.,"A",.,"A",.,"A",1105,"D","2","D"
"20092",1980955,31,0,"1",1663,"F",.,"A",387,"F",0,"D",.,"A",.,"A",.,"A",.,"A",1370,"F","2","D"
"20092",1980963,34,0,"1",1300,"D",325,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",975,"D","2","D"
"20092",1980973,28,0,"1",1040,"D",0,"D",.,"A",1300,"D",.,"A",.,"A",.,"A",.,"A",1040,"D","2","D"
"20092",1980983,31,0,"1",1950,"D",195,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",1755,"D","2","D"
"20092",1981013,55,0,"1",1300,"D",260,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",1040,"D","2","D"
"20092",1981023,34,0,"1",1690,"D",260,"D",.,"A",650,"D",0,"D",.,"A",.,"A",.,"A",1430,"D","2","D"
"20092",1981033,53,0,"1",650,"D",130,"D",.,"A",3250,"D",.,"A",.,"A",.,"A",.,"A",520,"D","2","D"
"20092",1981043,57,0,"1",1755,"D",0,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",1755,"D","2","D"
"20092",1981053,59,0,"1",1560,"D",260,"D",.,"A",650,"D",45,"D",.,"A",.,"A",.,"A",1300,"D","2","D"
"20092",1981064,77,0,"1",260,"D",0,"D",130,"D",325,"D",.,"A",.,"A",.,"A",.,"A",260,"D","2","D"
