"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMLOC","NUMLOC_","LOCLODGX","LOCL_DGX","ALCMEALX","ALCM_ALX","ALCGROCX","ALCG_OCX","LOCADMSX","LOCA_MSX","FOODLCDL","FOOD_CDL","LODGLCDL","LODG_CDL","ENTRLCDL","ENTR_CDL","ELSELCDL","ELSE_CDL","QLCMLAX","QLCMLAX_","QLCGLAX","QLCGLAX_"
"20091",1905955,66,0,"1",4,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",40,"D",.,"A"
"20091",1906135,78,0,"1",1,"D",69,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",20,"D",.,"A"
"20091",1906985,30,0,"1",1,"D",147,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20091",1909365,60,0,"1",1,"D",65,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20091",1910945,78,0,"1",1,"D",120,"G",14,"G",.,"A",.,"A","1","D","1","D","2","D","1","D",47,"G",.,"A"
"20091",1915475,71,0,"1",2,"D",275,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",120,"D",40,"D"
"20091",1917525,48,0,"1",1,"D",82,"G",28,"G",.,"A",56,"G","1","D","1","D","1","D","2","D",121,"G",.,"A"
"20091",1917985,53,0,"1",1,"D",126,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20091",1918225,69,0,"1",1,"D",299,"D",50,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20091",1922885,56,0,"1",2,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",45,"D",.,"A"
"20091",1923335,37,0,"1",1,"D",400,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20091",1927165,42,0,"1",1,"D",80,"D",.,"A",30,"D",.,"A",,"A",,"A",,"A",,"A",.,"A",0,"D"
"20091",1929394,50,0,"1",7,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",15,"D",15,"D"
"20091",1929574,43,0,"1",1,"D",150,"D",30,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",127,"D",.,"A"
"20091",1929914,69,0,"1",1,"D",92,"D",30,"D",.,"A",160,"D",,"A",,"A",,"A",,"A",70,"D",.,"A"
"20091",1930824,50,0,"1",1,"D",45,"G",7,"G",.,"A",78,"G","1","D","1","D","1","D","2","D",20,"G",.,"A"
"20091",1933914,68,0,"1",2,"D",220,"D",20,"D",9,"D",.,"A",,"A",,"A",,"A",,"A",80,"D",31,"D"
"20091",1937224,63,0,"1",1,"D",115,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",40,"D",.,"A"
