"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMNONCU","NUMN_NCU","TRNONCUX","TRNO_CUX","TRNONCUY","TRNO_CUY"
"20091",1906135,77,0,"1",1,"D",.,"H",,"A"
"20091",1906135,77,1,"1",.,"A",51,"E","100","D"
"20091",1906135,77,2,"1",.,"A",18,"E","110","D"
"20091",1906135,77,3,"1",.,"A",28,"E","200","D"
"20091",1906135,77,4,"1",.,"A",49,"E","210","D"
"20091",1906135,77,5,"1",.,"A",54,"E","220","D"
"20091",1906475,67,0,"1",1,"D",.,"H",,"A"
"20091",1906475,67,1,"1",.,"A",21,"E","100","D"
"20091",1906475,67,2,"1",.,"A",5,"E","110","D"
"20091",1906475,67,3,"1",.,"A",10,"E","120","D"
"20091",1906475,67,4,"1",.,"A",42,"E","130","D"
"20091",1906475,67,5,"1",.,"A",2,"E","140","D"
"20091",1906475,67,6,"1",.,"A",69,"E","150","D"
"20091",1906475,67,7,"1",.,"A",18,"E","160","D"
"20091",1906475,67,8,"1",.,"A",6,"E","170","D"
"20091",1906475,67,9,"1",.,"A",256,"E","180","D"
"20091",1906475,67,10,"1",.,"A",11,"E","190","D"
"20091",1906615,57,0,"1",1,"D",.,"H",,"A"
"20091",1906615,57,1,"1",.,"A",8,"E","100","D"
"20091",1906615,57,2,"1",.,"A",1,"E","110","D"
"20091",1906615,57,3,"1",.,"A",1,"E","120","D"
"20091",1906615,57,4,"1",.,"A",3,"E","130","D"
"20091",1906615,57,5,"1",.,"A",9,"E","150","D"
"20091",1906615,57,6,"1",.,"A",1,"E","170","D"
"20091",1906615,57,7,"1",.,"A",46,"E","180","D"
"20091",1906615,57,8,"1",.,"A",28,"E","190","D"
"20091",1906615,57,9,"1",.,"A",1,"E","200","D"
"20091",1906615,57,10,"1",.,"A",2,"E","210","D"
"20091",1906895,73,0,"1",1,"D",.,"H",,"A"
"20091",1906895,73,1,"1",.,"A",7,"E","100","D"
"20091",1906895,73,2,"1",.,"A",6,"E","110","D"
"20091",1906895,73,3,"1",.,"A",2,"E","120","D"
"20091",1906895,73,4,"1",.,"A",22,"E","150","D"
"20091",1906895,73,5,"1",.,"A",2,"E","160","D"
"20091",1906895,73,6,"1",.,"A",3,"E","170","D"
"20091",1906895,73,7,"1",.,"A",28,"E","180","D"
