"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20091",1905795,16,0,"1","160","D","13","D",24,"D"
"20091",1905805,17,0,"1","100","D","13","D",600,"D"
"20091",1905805,18,0,"1","150","D","13","D",1700,"D"
"20091",1905825,16,0,"1","150","D","11","D",40,"D"
"20091",1905825,17,0,"1","150","D","12","D",40,"D"
"20091",1905825,18,0,"1","150","D","01","D",40,"D"
"20091",1905855,22,0,"1","160","D","13","D",20,"D"
"20091",1905865,14,0,"1","170","D","12","D",1050,"D"
"20091",1905865,15,0,"2","170","D","10","D",200,"D"
"20091",1905885,13,0,"1","160","D","13","D",40,"D"
"20091",1905905,19,0,"1","170","D","02","D",20,"D"
"20091",1905935,20,0,"1","170","D","12","D",225,"D"
"20091",1905935,21,0,"1","150","D","10","D",50,"D"
"20091",1905935,22,0,"2","150","D","10","D",3,"D"
"20091",1905955,17,0,"1","160","D","11","D",200,"D"
"20091",1906035,25,0,"1","150","D","13","D",130,"D"
"20091",1906035,26,0,"1","150","D","12","D",60,"D"
"20091",1906055,21,0,"2","160","D","12","D",20,"D"
"20091",1906065,14,0,"1","150","D","13","D",200,"D"
"20091",1906085,28,0,"1","170","D","12","D",150,"D"
"20091",1906085,29,0,"1","140","D","11","D",30,"D"
"20091",1906095,13,0,"1","150","D","13","D",200,"D"
"20091",1906115,14,0,"1","150","D","13","D",200,"D"
"20091",1906125,26,0,"1","170","D","12","D",100,"D"
"20091",1906125,27,0,"1","150","D","12","D",50,"D"
"20091",1906125,28,0,"1","160","D","12","D",10,"D"
"20091",1906135,23,0,"1","170","D","12","D",150,"D"
"20091",1906165,16,0,"1","170","D","12","D",150,"D"
"20091",1906165,17,0,"1","170","D","01","D",500,"D"
"20091",1906165,18,0,"1","170","D","12","D",40,"D"
"20091",1906195,20,0,"1","150","D","13","D",10,"D"
"20091",1906225,24,0,"1","150","D","13","D",35,"D"
"20091",1906225,25,0,"1","150","D","11","D",180,"D"
"20091",1906235,19,0,"1","110","D","13","D",50,"D"
"20091",1906245,22,0,"1","170","D","12","D",100,"D"
"20091",1906245,23,0,"1","160","D","12","D",35,"D"
"20091",1906255,13,0,"1","170","D","01","D",2500,"D"
"20091",1906295,17,0,"1","150","D","01","D",400,"D"
"20091",1906295,18,0,"1","150","D","02","D",400,"D"
"20091",1906315,21,0,"1","170","D","12","D",20,"D"
"20091",1906375,17,0,"1","170","D","12","D",400,"D"
"20091",1906375,18,0,"1","160","D","10","D",500,"D"
"20091",1906385,20,0,"1","160","D","13","D",60,"D"
"20091",1906385,21,0,"2","160","D","11","D",50,"D"
"20091",1906405,13,0,"2","160","D","10","D",50,"D"
"20091",1906425,15,0,"1","150","D","13","D",500,"D"
"20091",1906455,17,0,"1","110","D","13","D",1100,"D"
"20091",1906455,18,0,"1","150","D","11","D",50,"D"
"20091",1906455,19,0,"1","160","D","11","D",600,"D"
"20091",1906485,14,0,"2","160","D","12","D",70,"D"
"20091",1906515,19,0,"1","150","D","13","D",200,"D"
"20091",1906525,13,0,"1","160","D","13","D",2,"D"
"20091",1906535,15,0,"1","150","D","13","D",125,"D"
"20091",1906535,16,0,"1","150","D","13","D",125,"D"
