"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","MKMDEL","MKMDEL_","LSDENDYR","LSDE_DYR"
"20091",1906115,34,0,"5","01","D","100","D","2007","D",.,"A",39,"D","12","D",660,"D","3","D",.,"A",.,"A",5000,"D",.,"A",,"A",660,"D",660,"D",660,"D",.,"A",.,"A",.,"A",5000,"D",.,"A","BMWAB","D",,"A"
"20091",1906115,35,0,"5","02","D","100","D","2008","D",.,"A",39,"D","12","F",600,"D","3","D",.,"A",.,"A",.,"C",.,"A",,"A",600,"D",600,"D",600,"D",.,"A",.,"A",.,"A",.,"B",.,"A","MRBAW","D",,"A"
"20091",1908055,31,0,"5","01","D","110","D","2007","D",.,"A",39,"D","06","D",480,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",480,"D",480,"D",480,"D",.,"A",.,"A",.,"A",.,"A",.,"A","GMCAI","D",,"A"
"20091",1908055,32,0,"5","02","D","100","D","2004","D",.,"A",36,"D","02","D",330,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",330,"D",330,"D",330,"D",.,"A",.,"A",.,"A",.,"A",.,"A","PONAR","D",,"A"
"20091",1908185,41,0,"5","02","D","100","D","2008","D",.,"A",39,"D","03","D",642,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",642,"D",642,"D",642,"D",.,"A",.,"A",.,"A",.,"A",.,"A","GMCAA","D",,"A"
"20091",1908195,44,0,"5","01","D","100","D","2007","D",.,"A",24,"D","03","D",99,"D","3","D",.,"A",.,"A",1800,"D",.,"A",,"A",99,"D",99,"D",99,"D",.,"A",.,"A",.,"A",1800,"D",.,"A","MITAF","D",,"A"
"20091",1908535,38,0,"5","01","D","100","D","2006","D",.,"A",36,"D","02","D",166,"D","3","D",.,"A",7000,"D",.,"A",.,"A","12","D",166,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","CHEAS","D",,"A"
"20091",1908725,43,0,"5","01","D","100","D","2008","D",.,"A",36,"D","09","D",750,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",750,"D",750,"D",750,"D",.,"A",.,"A",.,"A",.,"A",.,"A","BMWAB","D",,"A"
"20091",1909025,25,0,"5","01","D","110","D","2003","D",.,"A",36,"D","09","F",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",138,"F",138,"F",138,"F",.,"A",.,"A",.,"A",.,"A",.,"A","JEEAB","D",,"A"
"20091",1909555,35,0,"5","01","D","100","D","2008","D",.,"A",36,"D","08","D",.,"C","3","D",.,"A",.,"C",.,"A",.,"A",,"A",650,"F",650,"F",650,"F",.,"A",.,"A",.,"A",.,"A",.,"A","BMWAD","D",,"A"
"20091",1909555,36,0,"5","02","D","110","D","2008","D",.,"A",36,"D","10","D",1000,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",1000,"D",1000,"D",1000,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CADAG","D",,"A"
"20091",1909725,34,0,"5","01","D","110","D","2006","D",.,"A",36,"D","09","D",515,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",515,"D",515,"D",515,"D",.,"A",.,"A",.,"A",.,"A",.,"A","ACUAI","D",,"A"
"20091",1909825,26,0,"5","01","D","110","D","2007","D",.,"A",36,"D","04","D",1000,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",1000,"D",1000,"D",1000,"D",.,"A",.,"A",.,"A",.,"A",.,"A","LEXAD","D",,"A"
"20091",1910325,40,0,"5","02","D","110","D","2008","D",.,"A",36,"D","05","D",321,"D","3","D",.,"A",.,"A",30000,"D",.,"A",,"A",321,"D",321,"D",321,"D",.,"A",.,"A",.,"A",30000,"D",.,"A","INFAL","D",,"A"
"20091",1910445,26,0,"5","01","D","110","D","2005","D",0.15,"D",39,"D","11","D",376,"D","3","D",.,"A",.,"A",.,"A",.,"A","12","D",376,"D",376,"D",376,"D",.,"A",.,"A",.,"A",.,"A",.,"A","JEEAB","D",,"A"
"20091",1911185,33,0,"5","01","D","110","D","2008","D",.,"A",36,"D","09","D",239,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",239,"D",239,"D",239,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","NISAF","D",,"A"
"20091",1911795,30,0,"5","01","D","110","D","2007","D",.,"A",36,"D","01","D",450,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",450,"D",450,"D",450,"D",.,"A",.,"A",.,"A",.,"A",.,"A","FORAM","D",,"A"
"20091",1911795,31,0,"5","02","D","100","D","2009","D",.,"A",36,"D","09","D",319,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",319,"D",319,"D",319,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","MINAA","D",,"A"
"20091",1911905,35,0,"5","01","D","100","D","2005","D",.,"A",36,"D","06","D",500,"D","3","D",.,"A",11000,"D",.,"A",.,"A",,"A",500,"D",500,"D",500,"D",.,"A",.,"A",.,"A",.,"A",.,"A","ACUXX","D",,"A"
"20091",1912445,63,0,"5","01","D","100","D","2008","D",.,"A",24,"D","08","D",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",245,"F",245,"F",245,"F",.,"A",.,"A",.,"A",.,"A",.,"A","NISAD","D",,"A"
"20091",1912665,25,0,"5","01","D","100","D","2007","D",.,"A",36,"D","06","D",650,"D","3","D",.,"A",.,"A",.,"C",.,"A",,"A",650,"D",650,"D",650,"D",.,"A",.,"A",.,"A",.,"B",.,"A","MRBAH","D",,"A"
"20091",1912705,37,0,"5","01","D","110","D","2006","D",.,"A",36,"D","01","D",684,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",684,"D",684,"D",684,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAW","D",,"A"
"20091",1913055,38,0,"5","01","D","100","D","2004","D",.,"A",48,"D","04","D",600,"D","3","D",.,"A",11000,"D",6000,"D",.,"A",,"A",600,"D",600,"D",600,"D",200,"D",200,"D",200,"D",6000,"D",.,"A","TOYAB","D",,"A"
"20091",1913255,32,0,"5","01","D","100","D","2008","D",.,"A",24,"D","03","D",375,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",375,"D",375,"D",375,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHRAL","D",,"A"
