"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20091",1905855,65,0,"1","410","D","12","D",39,"D",,"A",,"A",,"A",,"A"
"20091",1905855,66,0,"1","420","D","12","D",48,"D",,"A",,"A",,"A",,"A"
"20091",1905955,77,0,"1","410","D","11","D",40,"D",,"A",,"A",,"A",,"A"
"20091",1905965,49,0,"1","400","D","02","D",10,"D",,"A",,"A",,"A",,"A"
"20091",1906035,83,0,"1","420","D","01","D",72,"D",,"A",,"A",,"A",,"A"
"20091",1906055,49,0,"1","410","D","02","D",207,"D",,"A",,"A",,"A",,"A"
"20091",1906145,48,0,"1","420","D","01","D",90,"D",,"A",,"A",,"A",,"A"
"20091",1906155,45,0,"1","420","D","01","D",280,"F",,"A",,"A",,"A",,"A"
"20091",1906195,52,0,"1","430","D","01","D",.,"H","415","D","410","D",,"A",,"A"
"20091",1906195,52,1,"1","420","D","01","D",57,"E",,"A",,"A",,"A",,"A"
"20091",1906195,52,2,"1","410","D","01","D",14,"E",,"A",,"A",,"A",,"A"
"20091",1906245,86,0,"1","410","D","11","D",70,"D",,"A",,"A",,"A",,"A"
"20091",1906245,87,0,"1","420","D","10","D",36,"D",,"A",,"A",,"A",,"A"
"20091",1906285,52,0,"1","420","D","01","D",186,"D",,"A",,"A",,"A",,"A"
"20091",1906315,69,0,"1","430","D","11","D",.,"H","425","D","415","D",,"A",,"A"
"20091",1906315,69,1,"1","420","D","11","D",110,"E",,"A",,"A",,"A",,"A"
"20091",1906325,46,0,"1","420","D","12","D",46,"D",,"A",,"A",,"A",,"A"
"20091",1906355,38,0,"1","410","D","02","D",15,"D",,"A",,"A",,"A",,"A"
"20091",1906375,70,0,"1","400","D","11","D",10,"D",,"A",,"A",,"A",,"A"
"20091",1906395,40,0,"1","420","D","12","D",345,"D",,"A",,"A",,"A",,"A"
"20091",1906455,75,0,"1","420","D","11","D",57,"D",,"A",,"A",,"A",,"A"
"20091",1906475,73,0,"1","410","D","01","D",20,"D",,"A",,"A",,"A",,"A"
"20091",1906555,69,0,"1","430","D","01","D",.,"H","415","D","400","D",,"A",,"A"
"20091",1906555,69,1,"1","400","D","01","D",22,"F",,"A",,"A",,"A",,"A"
"20091",1906555,69,2,"1","420","D","01","D",106,"F",,"A",,"A",,"A",,"A"
"20091",1906555,70,0,"1","430","D","11","D",.,"H","415","D","400","D",,"A",,"A"
"20091",1906555,70,1,"1","400","D","11","D",35,"F",,"A",,"A",,"A",,"A"
"20091",1906555,70,2,"1","420","D","11","D",112,"F",,"A",,"A",,"A",,"A"
"20091",1906575,90,0,"1","410","D","12","D",29,"D",,"A",,"A",,"A",,"A"
"20091",1906575,91,0,"1","420","D","12","D",85,"D",,"A",,"A",,"A",,"A"
"20091",1906585,39,0,"1","400","D","10","D",51,"D",,"A",,"A",,"A",,"A"
"20091",1906615,69,0,"1","400","D","02","D",28,"D",,"A",,"A",,"A",,"A"
"20091",1906615,70,0,"1","420","D","02","D",70,"D",,"A",,"A",,"A",,"A"
"20091",1906725,39,0,"1","420","D","01","D",93,"D",,"A",,"A",,"A",,"A"
"20091",1906745,66,0,"2","400","D","10","D",28,"D",,"A",,"A",,"A",,"A"
"20091",1906875,48,0,"1","420","D","01","D",75,"D",,"A",,"A",,"A",,"A"
"20091",1906885,30,0,"1","420","D","11","D",165,"D",,"A",,"A",,"A",,"A"
"20091",1906895,83,0,"1","420","D","12","D",323,"D",,"A",,"A",,"A",,"A"
"20091",1906925,78,0,"1","420","D","01","D",110,"D",,"A",,"A",,"A",,"A"
"20091",1906925,79,0,"2","420","D","11","D",35,"D",,"A",,"A",,"A",,"A"
"20091",1907185,91,0,"1","420","D","11","D",52,"D",,"A",,"A",,"A",,"A"
"20091",1907185,92,0,"1","420","D","11","D",77,"D",,"A",,"A",,"A",,"A"
"20091",1907305,45,0,"1","420","D","12","D",300,"D",,"A",,"A",,"A",,"A"
