"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMYUPD","NUMYUPD_","TOTYUPDX","TOTY_PDX","TOTYUPDY","TOTY_PDY"
"20091",1905855,57,0,"1",1,"D",.,"H",,"A"
"20091",1905855,57,1,"1",.,"A",19,"E","100","D"
"20091",1905855,57,2,"1",.,"A",9,"E","110","D"
"20091",1905855,57,3,"1",.,"A",18,"E","120","D"
"20091",1905855,57,4,"1",.,"A",66,"E","130","D"
"20091",1905855,57,5,"1",.,"A",3,"E","140","D"
"20091",1905855,57,6,"1",.,"A",128,"E","150","D"
"20091",1905855,57,7,"1",.,"A",11,"E","160","D"
"20091",1905855,57,8,"1",.,"A",3,"E","170","D"
"20091",1905855,57,9,"1",.,"A",13,"E","190","D"
"20091",1906475,66,0,"1",1,"D",.,"H",,"A"
"20091",1906475,66,1,"1",.,"A",47,"E","100","D"
"20091",1906475,66,2,"1",.,"A",12,"E","110","D"
"20091",1906475,66,3,"1",.,"A",32,"E","120","D"
"20091",1906475,66,4,"1",.,"A",123,"E","130","D"
"20091",1906475,66,5,"1",.,"A",4,"E","140","D"
"20091",1906475,66,6,"1",.,"A",194,"E","150","D"
"20091",1906475,66,7,"1",.,"A",9,"E","170","D"
"20091",1906475,66,8,"1",.,"A",19,"E","190","D"
"20091",1906895,72,0,"1",2,"D",.,"H",,"A"
"20091",1906895,72,1,"1",.,"A",7,"E","100","D"
"20091",1906895,72,2,"1",.,"A",2,"E","110","D"
"20091",1906895,72,3,"1",.,"A",8,"E","120","D"
"20091",1906895,72,4,"1",.,"A",55,"E","150","D"
"20091",1906895,72,5,"1",.,"A",1,"E","160","D"
"20091",1906895,72,6,"1",.,"A",2,"E","170","D"
"20091",1906895,72,7,"1",.,"A",3,"E","190","D"
"20091",1907715,48,0,"1",1,"D",.,"H",,"A"
"20091",1907715,48,1,"1",.,"A",7,"E","100","D"
"20091",1907715,48,2,"1",.,"A",2,"E","110","D"
"20091",1907715,48,3,"1",.,"A",8,"E","120","D"
"20091",1907715,48,4,"1",.,"A",30,"E","150","D"
"20091",1907715,48,5,"1",.,"A",4,"E","160","D"
"20091",1907715,48,6,"1",.,"A",7,"E","190","D"
"20091",1909305,28,0,"1",1,"D",.,"H",,"A"
"20091",1909305,28,1,"1",.,"A",115,"E","100","D"
"20091",1909305,28,2,"1",.,"A",35,"E","110","D"
"20091",1909815,56,0,"1",4,"D",.,"H",,"A"
"20091",1909815,56,1,"1",.,"A",24,"E","200","D"
"20091",1909815,56,2,"1",.,"A",32,"E","210","D"
"20091",1909815,56,3,"1",.,"A",25,"E","220","D"
"20091",1910025,71,0,"1",1,"D",.,"H",,"A"
"20091",1910025,71,1,"1",.,"A",77,"E","100","D"
"20091",1910025,71,2,"1",.,"A",23,"E","110","D"
"20091",1910915,54,0,"1",1,"D",.,"H",,"A"
"20091",1910915,54,1,"1",.,"A",9,"E","120","D"
"20091",1910915,54,2,"1",.,"A",1,"E","140","D"
"20091",1910915,54,3,"1",.,"A",35,"E","150","D"
"20091",1910915,54,4,"1",.,"A",5,"E","190","D"
"20091",1911725,61,0,"1",1,"D",.,"H",,"A"
"20091",1911725,61,1,"1",.,"A",33,"E","200","D"
"20091",1911725,61,2,"1",.,"A",23,"E","210","D"
"20091",1911725,61,3,"1",.,"A",44,"E","220","D"
"20091",1912555,30,0,"1",1,"D",.,"H",,"A"
"20091",1912555,30,1,"1",.,"A",202,"E","200","D"
"20091",1912555,30,2,"1",.,"A",38,"E","210","D"
"20091",1912955,36,0,"1",2,"D",.,"H",,"A"
"20091",1912955,36,1,"1",.,"A",68,"E","100","D"
"20091",1912955,36,2,"1",.,"A",23,"E","110","D"
"20091",1912955,36,3,"1",.,"A",35,"E","120","D"
"20091",1912955,36,4,"1",.,"A",1,"E","140","D"
"20091",1912955,36,5,"1",.,"A",268,"E","150","D"
"20091",1912955,36,6,"1",.,"A",38,"E","160","D"
"20091",1912955,36,7,"1",.,"A",67,"E","190","D"
"20091",1913135,50,0,"1",1,"D",.,"H",,"A"
"20091",1913135,50,1,"1",.,"A",66,"E","100","D"
