"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOD","PROP0NOD","OWNYD","OWNYD_","DISPMTHD","DISP_THD","DISPX","DISPX_","DISPEXPX","DISP_XPX","DISPMO","DISPMO_","DISPYR","DISPYR_"
"20091",1911955,25,0,"1","01","D","200","D","1","D",.,"A",.,"A","11","D","2008","D"
"20091",1919095,45,0,"1","02","D","300","D","1","D",84000,"F",8000,"F","01","D","2009","D"
"20091",1927835,73,0,"1","02","D","400","D","3","D",.,"A",.,"A","12","D","2008","D"
"20091",1930444,37,0,"1","02","D","200","D","1","D",.,"A",.,"A","10","D","2008","D"
"20091",1931974,47,0,"1","01","D","200","D","1","D",140000,"F",3500,"F","01","D","2009","D"
"20091",1935194,52,0,"1","02","D","300","D","1","D",84000,"F",8000,"F","12","D","2008","D"
"20091",1936774,39,0,"1","01","D","200","D","1","D",160000,"F",2500,"F","01","D","2009","D"
"20091",1937724,42,0,"1","02","D","300","D","2","D",.,"A",.,"A","01","D","2009","D"
"20091",1938824,55,0,"1","03","D","300","D","1","D",37000,"F",2500,"F","12","D","2008","D"
"20091",1946394,55,0,"1","06","D","500","D","3","D",.,"A",.,"A","01","D","2009","D"
"20091",1947335,35,0,"1","02","D","200","D","3","D",.,"A",.,"A","12","D","2008","D"
"20091",1954223,30,0,"1","02","D","300","D","1","D",.,"A",.,"A","10","D","2008","D"
"20091",1956753,47,0,"1","01","D","100","D","3","D",.,"A",.,"A","11","D","2008","D"
"20091",1962163,34,0,"2","02","D","500","D","3","D",.,"A",.,"A","12","D","2008","D"
"20091",1962373,40,0,"2","02","D","200","D","1","D",190000,"D",0,"D","12","D","2008","D"
"20091",1968413,53,0,"1","03","D","500","D","3","D",.,"A",.,"A","12","D","2008","D"
"20091",1970253,46,0,"1","03","D","300","D","2","D",.,"A",.,"A","01","D","2009","D"
"20091",1971983,37,0,"2","03","D","400","D","3","D",.,"A",.,"A","12","D","2008","D"
"20091",1972673,57,0,"2","04","D","400","D","3","D",.,"A",.,"A","11","D","2008","D"
"20091",1974952,49,0,"1","03","D","300","D","1","D",.,"A",.,"A","11","D","2008","D"
"20091",1974952,50,0,"1","04","D","500","D","2","D",.,"A",.,"A","01","D","2008","D"
"20091",1975974,28,0,"1","02","D","400","D","1","D",152750,"V",3951,"F","12","D","2008","D"
"20091",1977022,27,0,"1","01","D","200","D","3","D",.,"A",.,"A","12","D","2008","D"
"20091",1977884,37,0,"1","01","D","200","D","3","D",.,"A",.,"A","12","D","2008","D"
"20091",1978142,71,0,"1","05","D","500","D","3","D",.,"A",.,"A","12","D","2008","D"
"20091",1980472,37,0,"2","01","D","200","D","1","D",350000,"D",0,"D","10","D","2008","D"
"20091",1982023,50,0,"1","02","D","200","D","1","D",188000,"F",11000,"F","12","D","2008","D"
"20091",1983182,64,0,"1","02","D","500","D","1","D",70000,"F",2100,"F","02","D","2009","D"
"20091",1983572,27,0,"1","02","D","200","D","1","D",.,"A",.,"A","01","D","2008","D"
"20091",1989413,60,0,"1","02","D","200","D","1","D",102000,"F",500,"F","01","D","2009","D"
"20091",1991732,37,0,"1","02","D","300","D","1","D",.,"A",.,"A","11","D","2008","D"
"20091",1993722,35,0,"1","03","D","400","D","1","D",152750,"V",3951,"F","01","D","2009","D"
"20091",1994673,31,0,"1","02","D","200","D","1","D",127000,"F",2400,"F","02","D","2009","D"
"20091",1995152,57,0,"1","02","D","200","D","1","D",128000,"F",7930,"F","01","D","2009","D"
"20092",1934625,24,0,"2","01","D","300","D","1","D",.,"A",.,"A","05","D","2009","D"
"20092",1936415,37,0,"2","01","D","200","D","1","D",109000,"D",0,"D","01","D","2009","D"
"20092",1950135,23,0,"1","02","D","500","D","1","D",1200,"D",1200,"D","01","D","2009","D"
"20092",1950964,29,0,"1","03","D","400","D","3","D",.,"A",.,"A","04","D","2009","D"
"20092",1954244,59,0,"1","01","D","200","D","3","D",.,"A",.,"A","01","D","2009","D"
"20092",1958814,38,0,"1","02","D","300","D","3","D",.,"A",.,"A","03","D","2009","D"
"20092",1971775,30,0,"1","02","D","300","D","3","D",.,"A",.,"A","04","D","2009","D"
"20092",1973734,27,0,"1","01","D","200","D","3","D",.,"A",.,"A","05","D","2008","D"
"20092",1976533,26,0,"1","03","D","300","D","2","D",.,"A",.,"A","04","D","2009","D"
"20092",1978793,37,0,"1","02","D","300","D","1","D",.,"A",.,"A","04","D","2007","D"
"20092",1981133,52,0,"1","02","D","200","D","1","D",84000,"F",8000,"F","04","D","2009","D"
"20092",1981203,34,0,"1","02","D","300","D","3","D",.,"A",.,"A","04","D","2009","D"
"20092",1983183,53,0,"1","04","D","500","D","1","D",.,"A",.,"A","04","D","2009","D"
"20092",1985003,62,0,"1","04","D","500","D","3","D",.,"A",.,"A","01","D","2009","D"
"20092",1988353,51,0,"1","01","D","500","D","1","D",152750,"T",5200,"D","03","D","2009","D"
"20092",1997002,50,0,"1","03","D","500","D","3","D",.,"A",.,"A","04","D","2009","D"
"20092",1997762,66,0,"1","02","D","400","D","2","D",.,"A",.,"A","05","D","2009","D"
"20092",1999835,31,0,"1","01","D","200","D","2","D",.,"A",.,"A","05","D","2009","D"
"20092",2000062,35,0,"1","02","D","500","D","3","D",.,"A",.,"A","02","D","2009","D"
"20092",2001802,31,0,"1","01","D","200","D","3","D",.,"A",.,"A","01","D","2009","D"
"20092",2002062,53,0,"1","03","D","400","D","3","D",.,"A",.,"A","01","D","2008","D"
"20092",2002912,28,0,"1","01","D","500","D","1","D",70000,"F",2100,"F","04","D","2009","D"
"20092",2005462,54,0,"1","03","D","300","D","2","D",.,"A",.,"A","03","D","2008","D"
"20092",2005663,26,0,"1","01","D","200","D","3","D",.,"A",.,"A","02","D","2009","D"
"20092",2006772,34,0,"1","02","D","400","D","1","D",35000,"D",1200,"D","05","D","2009","D"
"20092",2007012,37,0,"1","02","D","400","D","3","D",.,"A",.,"A","02","D","1998","D"
"20092",2009652,39,0,"1","01","D","100","D","3","D",.,"A",.,"A","03","D","2008","D"
"20092",2015112,26,0,"1","01","D","300","D","3","D",.,"A",.,"A","04","D","2009","D"
"20092",2015112,27,0,"1","02","D","300","D","3","D",.,"A",.,"A","03","D","2009","D"
"20093",1964225,54,0,"1","02","D","300","D","3","D",.,"A",.,"A","06","D","2009","D"
"20093",1967125,56,0,"1","02","D","300","D","3","D",.,"A",.,"A","05","D","2009","D"
"20093",1972365,68,0,"2","02","D","400","D","1","D",3500,"D",125,"D","04","D","2009","D"
"20093",1973765,29,0,"1","03","D","500","D","2","D",.,"A",.,"A","06","D","2009","D"
"20093",1975934,29,0,"1","02","D","500","D","3","D",.,"A",.,"A","06","D","2009","D"
"20093",1977005,40,0,"2","02","D","300","D","1","D",196667,"V",0,"F","06","D","2009","D"
"20093",1979344,43,0,"1","02","D","300","D","3","D",.,"A",.,"A","07","D","2009","D"
"20093",1984274,100,0,"1","01","D","200","D","1","D",424333,"T",38825,"D","07","D","2009","D"
"20093",1984804,50,0,"1","02","D","400","D","1","D",500,"D",0,"D","07","D","2009","D"
"20093",1987534,51,0,"1","04","D","300","D","3","D",.,"A",.,"A","04","D","2009","D"
"20093",1992424,57,0,"1","02","D","200","D","1","D",.,"A",.,"A","07","D","2009","D"
"20093",1992424,58,0,"1","03","D","500","D","1","D",.,"A",.,"A","07","D","2009","D"
"20093",1995534,59,0,"2","03","D","200","D","1","D",182000,"D",12000,"D","06","D","2009","D"
"20093",2001824,28,0,"1","01","D","200","D","1","D",.,"A",.,"A","06","D","2009","D"
"20093",2008765,40,0,"1","02","D","200","D","1","D",.,"A",.,"A","06","D","2009","D"
"20093",2015083,41,0,"1","01","D","200","D","3","D",.,"A",.,"A","06","D","2009","D"
"20093",2015103,47,0,"2","04","D","400","D","3","D",.,"A",.,"A","05","D","2009","D"
"20093",2018392,38,0,"1","03","D","500","D","2","D",.,"A",.,"A","08","D","2009","D"
"20093",2019464,22,0,"1","01","D","200","D","2","D",.,"A",.,"A","08","D","2009","D"
"20093",2022872,26,0,"1","01","D","300","D","1","D",125000,"D",0,"D","06","D","2009","D"
"20093",2025013,43,0,"1","02","D","200","D","1","D",146000,"D",8000,"F","04","D","2009","D"
"20093",2027823,38,0,"1","02","D","500","D","2","D",.,"A",.,"A","07","D","2009","D"
"20093",2027823,39,0,"1","03","D","500","D","2","D",.,"A",.,"A","06","D","2009","D"
"20093",2027823,40,0,"1","04","D","500","D","2","D",.,"A",.,"A","07","D","2009","D"
"20093",2027823,41,0,"1","05","D","500","D","2","D",.,"A",.,"A","05","D","2009","D"
"20093",2027823,42,0,"1","06","D","500","D","2","D",.,"A",.,"A","07","D","2009","D"
"20093",2027823,43,0,"1","07","D","500","D","2","D",.,"A",.,"A","07","D","2009","D"
"20093",2028022,46,0,"1","01","D","300","D","3","D",.,"A",.,"A","06","D","2009","D"
"20093",2029213,34,0,"1","02","D","200","D","1","D",129000,"D",8000,"D","06","D","2009","D"
"20094",1993665,35,0,"1","01","D","200","D","1","D",424333,"T",2000,"D","08","D","2009","D"
"20094",2003515,37,0,"1","02","D","200","D","1","D",299000,"D",19131,"D","10","D","2009","D"
"20094",2005274,25,0,"1","01","D","200","D","3","D",.,"A",.,"A","10","D","2009","D"
"20094",2005564,54,0,"1","02","D","200","D","1","D",305000,"D",0,"D","10","D","2009","D"
"20094",2010264,52,0,"1","01","D","200","D","1","D",228000,"F",12540,"F","08","D","2009","D"
"20094",2016204,33,0,"1","02","D","500","D","3","D",.,"A",.,"A","08","D","2009","D"
"20094",2018365,44,0,"1","01","D","200","D","1","D",424333,"T",0,"D","09","D","2009","D"
"20094",2018825,58,0,"1","02","D","200","D","3","D",.,"A",.,"A","09","D","2009","D"
"20094",2020423,61,0,"1","01","D","200","D","1","D",299000,"F",19131,"F","11","D","2009","D"
"20094",2022333,33,0,"1","02","D","300","D","3","D",.,"A",.,"A","10","D","2009","D"
"20094",2023775,39,0,"1","01","D","200","D","1","D",300000,"D",9000,"D","11","D","2009","D"
"20094",2024284,33,0,"1","01","D","200","D","1","D",320000,"D",250,"D","08","D","2009","D"
"20094",2027193,24,0,"1","02","D","400","D","1","D",3000,"D",0,"D","11","D","2009","D"
"20094",2031373,38,0,"1","01","D","200","D","1","D",0,"D",0,"D","09","D","2009","D"
"20094",2032283,30,0,"1","02","D","300","D","1","D",1500,"D",1500,"D","07","D","2009","D"
"20094",2040173,38,0,"1","02","D","300","D","1","D",196667,"T",3000,"D","09","D","2009","D"
"20094",2040834,54,0,"1","01","D","200","D","1","D",.,"A",.,"A","10","D","2009","D"
"20094",2163893,30,0,"1","02","D","200","D","1","D",.,"A",.,"A","07","D","2008","D"
"20094",2169022,33,0,"1","02","D","300","D","2","D",.,"A",.,"A","07","D","2009","D"
"20094",2170612,36,0,"1","02","D","300","D","1","D",1500,"F",1500,"F","09","D","2009","D"
"20094",2172932,42,0,"2","02","D","200","D","1","D",54000,"D",0,"D","08","D","2009","D"
"20094",2182492,48,0,"1","03","D","500","D","3","D",.,"A",.,"A","08","D","2009","D"
"20094",2188842,64,0,"1","01","D","200","D","1","D",228000,"D",12540,"D","10","D","2009","D"
"20094",2192082,22,0,"1","01","D","200","D","3","D",.,"A",.,"A","08","D","2009","D"
"20094",2193943,25,0,"1","02","D","200","D","3","D",.,"A",.,"A","08","D","2009","D"
"20094",2194025,24,0,"1","01","D","200","D","1","D",3500,"D",700,"D","10","D","2009","D"
"20094",2194283,46,0,"1","02","D","200","D","1","D",150000,"D",14500,"D","10","D","2009","D"
"20094",2194905,42,0,"1","01","D","200","D","1","D",160000,"D",10000,"D","08","D","2009","D"
"20094",2195065,28,0,"1","02","D","200","D","1","D",26000,"D",0,"D","09","D","2009","D"
"20094",2196534,45,0,"1","01","D","200","D","3","D",.,"A",.,"A","08","D","2009","D"
"20094",2197124,49,0,"1","04","D","500","D","3","D",.,"A",.,"A","10","D","2009","D"
"20101",1996505,60,0,"1","02","D","300","D","3","D",.,"A",.,"A","10","D","2009","D"
"20101",1998745,47,0,"2","03","D","400","D","2","D",.,"A",.,"A","11","D","2009","D"
"20101",1998745,48,0,"1","06","D","400","D","3","D",.,"A",.,"A","11","D","2009","D"
"20101",1998745,49,0,"1","07","D","400","D","1","D",20000,"F",5700,"F","11","D","2009","D"
"20101",2000905,48,0,"1","03","D","400","D","1","D",20000,"D",5700,"D","02","D","2010","D"
"20101",2007525,49,0,"1","01","D","300","D","1","D",10000,"D",0,"D","11","D","2009","D"
"20101",2009925,44,0,"1","02","D","300","D","3","D",.,"A",.,"A","11","D","2009","D"
"20101",2012615,40,0,"1","01","D","300","D","2","D",.,"A",.,"A","12","D","2009","D"
"20101",2018454,27,0,"1","02","D","200","D","1","D",173000,"F",6000,"F","11","D","2009","D"
"20101",2019544,44,0,"1","02","D","300","D","3","D",.,"A",.,"A","12","D","2010","D"
"20101",2035764,26,0,"1","01","D","200","D","3","D",.,"A",.,"A","10","D","2009","D"
"20101",2037814,83,0,"1","02","D","200","D","3","D",.,"A",.,"A","11","D","2009","D"
"20101",2172563,27,0,"1","02","D","200","D","2","D",.,"A",.,"A","01","D","2010","D"
"20101",2177913,40,0,"2","02","D","300","D","1","D",196667,"T",12000,"F","12","D","2009","D"
"20101",2185393,69,0,"1","03","D","300","D","2","D",.,"A",.,"A","01","D","2010","D"
"20101",2189903,50,0,"1","02","D","500","D","1","D",.,"A",.,"A","11","D","2009","D"
"20101",2196313,39,0,"1","02","D","200","D","1","D",178000,"D",4200,"D","12","D","2009","D"
"20101",2221462,52,0,"1","02","D","300","D","2","D",.,"A",.,"A","11","D","2009","D"
"20101",2222392,82,0,"1","02","D","400","D","1","D",30000,"D",0,"D","01","D","2010","D"
"20101",2224414,35,0,"1","02","D","200","D","1","D",235000,"D",20000,"D","01","D","2010","D"
"20101",2224852,49,0,"1","03","D","400","D","3","D",.,"A",.,"A","01","D","2010","D"
"20101",2226582,57,0,"1","04","D","500","D","1","D",152750,"T",15000,"D","12","D","2009","D"
"20101",2226665,61,0,"1","02","D","200","D","1","D",365000,"D",22000,"D","10","D","2009","D"
"20101",2227314,60,0,"1","02","D","200","D","1","D",274900,"D",18000,"D","10","D","2009","D"
