"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20094",2186942,61,0,"5","01","D","100","D",0.0688,"D",100000,"D",15,"D",892,"D",,"A",,"A",,"A",,"A",0,"D",351,"D",353,"D",355,"D",541,"D",539,"D",537,"D",,"A","02","D","2008","D","1","D",,"A",94327,"D",93976,"D",93623,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20094",2187432,35,0,"5","01","D","100","D",0.04,"D",117000,"D",15,"D",1217,"D",,"B",,"B",,"B",,"B",352,"D",626,"D",628,"D",630,"D",239,"D",237,"D",235,"D",,"A","09","D","2002","D","1","D",,"A",71668,"D",71042,"D",70414,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20094",2187532,59,0,"5","02","D","300","D",0.0699,"D",53000,"D",15,"D",477,"D",,"B",,"B",,"B",,"B",1,"D",254,"D",256,"D",257,"D",222,"D",220,"D",219,"D",,"A","09","D","2003","D","1","D",,"A",38090,"D",37836,"D",37581,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20094",2188782,69,0,"5","01","D","100","D",0.0625,"F",232394,"V",15,"F",2689,"V","3","F","4","F","5","F",,"A",99,"F",731,"F",735,"F",739,"F",872,"F",868,"F",864,"F",,"A","03","F","2007","F","1","F",,"A",177302,"V",176197,"V",183223,"V","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20094",2189132,37,0,"5","01","D","100","D",0.0859,"F",20000,"F",15,"F",300,"F",,"B",,"B",,"B",,"B",102,"F",65,"F",65,"F",66,"F",133,"F",133,"F",132,"F",,"A","10","F","2007","F","1","F",,"A",18634,"F",18570,"F",18505,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20094",2189162,70,0,"5","01","D","100","D",0.072,"F",25000,"F",15,"F",238,"F",,"B",,"B",,"B",,"B",10,"F",106,"F",106,"F",107,"F",122,"F",122,"F",121,"F",,"A","06","F","2005","F","1","F",,"A",20362,"F",20257,"F",20150,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20094",2189822,46,0,"5","01","D","100","D",0.0475,"D",232394,"T",15,"D",1128,"D",,"B",,"B",,"B",,"B",78,"D",790,"D",793,"D",796,"D",260,"D",257,"D",254,"D",,"A","09","D","2000","D","1","D",,"A",65684,"D",64894,"D",64100,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20094",2189822,47,0,"5","01","D","100","D",0.0799,"D",14996,"D",5,"D",304,"D",,"A",,"A",,"A",,"A",0,"D",258,"D",259,"D",261,"D",46,"D",45,"D",43,"D",,"A","10","D","2006","D","1","D",,"A",6979,"D",6722,"D",6463,"D","02","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20094",2189902,41,0,"1","01","D","100","D",0.1025,"F",17000,"F",5,"F",364,"F",,"B",,"B",,"B",,"B",1,"F",286,"F",288,"F",291,"F",77,"F",75,"F",72,"F",,"A","01","F","2007","F","1","F",,"A",9024,"F",8738,"F",8450,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20094",2189902,42,0,"1","01","D","100","D",0.075,"F",32500,"F",9,"F",450,"F",,"B",,"B",,"B",,"B",35,"F",403,"F",405,"F",408,"F",12,"F",10,"F",7,"F",,"A","01","F","2001","F","1","F",,"A",1997,"F",1594,"F",1189,"F","02","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20094",2190122,34,0,"5","01","D","100","D",0.0859,"F",51660,"F",10,"F",643,"F",,"A",,"A",,"A",,"A",0,"F",431,"F",434,"F",437,"F",212,"F",209,"F",206,"F",,"A","05","F","2004","F","1","F",,"A",29580,"F",29148,"F",28714,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20094",2191152,46,0,"5","01","D","100","D",0.0525,"D",50000,"D",15,"D",402,"D",,"C",,"C",,"C",,"C",0,"D",244,"D",246,"D",247,"D",158,"D",156,"D",155,"D",,"A","02","D","2004","D","2","D",,"A",36014,"D",35769,"D",35524,"D","01","D","1","D",,"A",,"A",60,"D",60,"D",60,"D",,"C",,"A"
"20094",2192012,28,0,"5","01","D","100","D",0.059,"D",42889,"D",10,"D",474,"D",,"A",,"A",,"A",,"A",0,"D",343,"D",345,"D",346,"D",131,"D",129,"D",128,"D",,"A","01","D","2005","D","1","D",,"A",26661,"D",26318,"D",25973,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20094",2192382,36,0,"5","01","D","100","D",0.09,"F",10420,"F",10,"F",132,"F",,"A",,"A",,"A",,"A",0,"F",65,"F",66,"F",66,"F",67,"F",66,"F",66,"F",,"A","07","F","2007","F","1","F",,"A",8880,"F",8815,"F",8749,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20094",2193392,34,0,"1","01","D","100","D",0.0575,"D",10000,"D",5,"D",225,"D",,"B",,"B",,"B",,"B",33,"D",157,"D",158,"D",159,"D",35,"D",34,"D",33,"D",,"A","01","D","2008","D","1","D",,"A",7298,"D",7141,"D",6983,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20094",2193453,38,0,"1","01","D","100","D",0.0859,"F",80000,"F",10,"F",423,"F",,"A",,"A",,"A",,"A",0,"F",423,"F",426,"F",429,"F",573,"F",570,"F",567,"F",,"A","08","F","2009","F","1","F","082009","F",80000,"F",79577,"F",79151,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20094",2194952,32,0,"1","01","D","100","D",0.072,"D",25000,"D",15,"D",238,"D",,"B",,"B",,"B",,"B",10,"D",106,"D",106,"D",107,"D",122,"D",122,"D",121,"D",,"A","06","D","2005","D","1","D",,"A",20362,"D",20257,"D",20150,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",1995565,52,0,"5","01","D","100","D",0.055,"D",232394,"T",10,"D",2689,"T",,"A",,"A",,"A",,"A",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",,"A","10","D","2006","D","2","D",,"A",177302,"T",176197,"T",183223,"T","01","D","1","D",,"A",,"A",0,"D",0,"D",0,"D","1","D","2","D"
"20101",1995775,53,0,"5","01","D","100","D",0.0588,"F",46578,"F",18,"F",350,"F",,"A",,"A",,"A",,"A",0,"F",177,"F",177,"F",178,"F",173,"F",173,"F",172,"F",,"A","06","F","2003","F","1","F",,"A",35398,"F",35221,"F",35044,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",1996395,34,0,"5","01","D","100","D",0.04,"D",16899,"D",15,"D",125,"D",,"A",,"A",,"A",,"A",0,"D",75,"D",76,"D",76,"D",50,"D",49,"D",49,"D",,"A","06","D","2007","D","1","D",,"A",14887,"D",14812,"D",14736,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
