"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP"
"20091",1905755,25,0,"5","01","D","100","D",.,"A","3","D","01","D","2006","D",.,"A",.,"A",.,"A",4700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1905775,24,0,"5","01","D","100","D",.,"A","3","D","06","D","2004","D",.,"A",.,"A",.,"A",5000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1905785,41,0,"5","01","D","100","D",.,"A","3","D","07","D","2004","D",.,"A",.,"A",.,"A",3400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1905795,29,0,"5","01","D","100","D",.,"A","3","D",,"C","2000","D",.,"A",.,"A",.,"A",800,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1905805,35,0,"5","01","D","100","D",.,"A","3","D","08","D","1991","D",.,"A",.,"A",.,"A",4000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1905805,36,0,"5","02","D","300","D",.,"A","1","D","06","D","1996","D",.,"A",.,"A",.,"A",4000,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1905815,35,0,"5","01","D","100","D",.,"A","3","D","04","D","1968","D",.,"A",.,"A",.,"A",3876,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1905855,50,0,"5","01","D","100","D",.,"A","3","D","01","D","1996","D",.,"A",.,"A",.,"A",2000,"D",,"A",.,"A",,"A",.,"A","1","D",1,"D",,"A"
"20091",1905865,48,0,"5","01","D","100","D",.,"A","3","D","10","D","2003","D",.,"A",.,"A",.,"A",3000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1905875,40,0,"5","01","D","100","D",.,"A","3","D","08","D","2001","D",.,"A",.,"A",.,"A",2800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1905885,25,0,"5","01","D","100","D",.,"A","1","D","05","D","2005","D",.,"A",.,"A",.,"A",2500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1905935,48,0,"5","01","D","100","D",.,"A","3","D","11","D","2000","D",.,"A",.,"A",.,"A",1900,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1905955,57,0,"5","01","D","100","D",.,"A","3","D","08","D","2004","D",.,"A",.,"A",.,"A",6800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1905965,35,0,"5","01","D","100","D",0.33,"D","3","D","06","D","1999","D",.,"A",.,"A",.,"A",1782,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1906035,60,0,"5","01","D","100","D",.,"A","3","D","11","D","1997","D",.,"A",.,"A",.,"A",7850,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1906065,24,0,"5","01","D","100","D",.,"A","3","D",,"C","2005","D",.,"A",.,"A",.,"A",0,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1906085,73,0,"5","01","D","100","D",.,"A","1","D","06","D","2006","D",.,"A",.,"A",.,"A",2880,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1906095,31,0,"5","01","D","100","D",.,"A","3","D","07","D","2001","D",.,"A",.,"A",.,"A",1600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1906115,45,0,"5","01","D","100","D",.,"A","3","D","08","D","2007","D",.,"A",.,"A",.,"A",8200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1906125,75,0,"5","01","D","100","D",.,"A","3","D","07","D","1989","D",.,"A",.,"A",.,"A",1700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1906135,65,0,"5","01","D","100","D",.,"A","3","D","11","D","2002","D",.,"A",.,"A",.,"A",6300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20091",1906135,66,0,"5","02","D","300","D",.,"A","1","D","10","D","2005","D",.,"A",.,"A",.,"A",60,"F","1","D",12,"D","1","D",0,"D",,"A",.,"A",,"A"
