PURCHASED,NEWID,UCC,AGE_REF,BLS_URBN,EDUC_REF,FAM_TYPE,HRSPRWK1,FAM_SIZE,FINCBEFX
0,4981132,20510,50.0,1.0,12.0,3.0,40.0,3.0,0.0
0,4981141,20510,29.0,1.0,15.0,8.0,30.0,1.0,25000.0
0,4981142,20510,29.0,1.0,15.0,8.0,30.0,1.0,25000.0
0,4719011,20510,78.0,1.0,13.0,1.0,0.0,2.0,32204.0
0,4719012,20510,78.0,1.0,13.0,1.0,0.0,2.0,32204.0
0,4882851,20510,26.0,1.0,12.0,9.0,0.0,4.0,0.0
0,4882852,20510,26.0,1.0,12.0,9.0,0.0,4.0,0.0
0,4981161,20510,87.0,1.0,15.0,1.0,0.0,2.0,18564.0
0,4981162,20510,87.0,1.0,15.0,1.0,0.0,2.0,18564.0
0,4981171,20510,73.0,1.0,15.0,1.0,0.0,2.0,39664.0
0,4981172,20510,73.0,1.0,15.0,1.0,0.0,2.0,39664.0
0,4784571,20510,22.0,1.0,13.0,9.0,30.0,4.0,61802.0
0,4784572,20510,22.0,1.0,13.0,9.0,30.0,4.0,61802.0
0,4981181,20510,35.0,1.0,13.0,3.0,40.0,4.0,40900.0
0,4981182,20510,35.0,1.0,13.0,3.0,40.0,4.0,40900.0
0,4850121,20510,54.0,1.0,16.0,4.0,60.0,3.0,187000.0
0,4850122,20510,54.0,1.0,16.0,4.0,60.0,3.0,187000.0
0,4882892,20510,56.0,1.0,12.0,3.0,40.0,3.0,77300.0
0,4719061,20510,64.0,1.0,12.0,8.0,0.0,1.0,9822.0
0,4719062,20510,64.0,1.0,12.0,8.0,0.0,1.0,9822.0
0,4784621,20510,73.0,1.0,14.0,1.0,0.0,2.0,241871.0
0,4784622,20510,73.0,1.0,14.0,1.0,0.0,2.0,241871.0
0,4850181,20510,74.0,1.0,14.0,1.0,30.0,2.0,59899.0
0,4850182,20510,74.0,1.0,14.0,1.0,30.0,2.0,59899.0
0,4719111,20510,79.0,1.0,16.0,5.0,0.0,4.0,108164.0
0,4719112,20510,79.0,1.0,16.0,5.0,0.0,4.0,108164.0
0,4719131,20510,73.0,1.0,16.0,8.0,30.0,1.0,135512.0
0,4981281,20510,45.0,1.0,15.0,3.0,40.0,4.0,73700.0
0,4981282,20510,45.0,1.0,15.0,3.0,40.0,4.0,73700.0
0,4719141,20510,69.0,1.0,14.0,8.0,0.0,1.0,20622.0
0,4719142,20510,69.0,1.0,14.0,8.0,0.0,1.0,20622.0
0,4850232,20510,87.0,1.0,13.0,8.0,0.0,1.0,3240.0
0,4981312,20510,77.0,2.0,12.0,8.0,0.0,1.0,0.0
0,4784711,20510,62.0,1.0,15.0,5.0,60.0,6.0,176950.0
0,4883021,20510,55.0,1.0,15.0,4.0,40.0,3.0,75000.0
0,4981331,20510,41.0,1.0,12.0,3.0,0.0,4.0,55000.0
0,4981332,20510,41.0,1.0,12.0,3.0,0.0,4.0,55000.0
0,4784731,20510,61.0,1.0,12.0,8.0,40.0,1.0,78700.0
0,4784732,20510,61.0,1.0,12.0,8.0,40.0,1.0,78700.0
0,4981351,20510,27.0,2.0,15.0,1.0,40.0,2.0,0.0
0,4981352,20510,27.0,2.0,15.0,1.0,40.0,2.0,0.0
0,4850281,20510,61.0,1.0,16.0,9.0,38.0,2.0,43001.0
0,4850282,20510,61.0,1.0,16.0,9.0,38.0,2.0,43001.0
0,4719211,20510,40.0,1.0,15.0,8.0,40.0,1.0,90000.0
0,4719212,20510,40.0,1.0,15.0,8.0,40.0,1.0,90000.0
0,4981361,20510,26.0,1.0,13.0,8.0,60.0,1.0,51055.0
0,4981362,20510,26.0,1.0,13.0,8.0,60.0,1.0,51055.0
0,4850291,20510,74.0,1.0,16.0,1.0,0.0,2.0,79844.0
0,4850292,20510,74.0,1.0,16.0,1.0,0.0,2.0,79844.0
0,4981371,20510,76.0,1.0,12.0,9.0,0.0,2.0,51874.0
0,4850302,20510,65.0,1.0,11.0,8.0,0.0,1.0,15006.0
0,4784771,20510,59.0,1.0,14.0,1.0,30.0,2.0,71000.0
0,4784772,20510,59.0,1.0,14.0,1.0,30.0,2.0,71000.0
0,4981401,20510,27.0,1.0,16.0,8.0,40.0,1.0,110500.0
